fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
7195,662,Jim Perdios,471.0,2120.0,471.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:22,http://ufcstats.com/fight-details/f9d2137f380e66bf
7194,662,Marc Goddard,1280.0,335.0,1280.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:12,http://ufcstats.com/fight-details/3e1c27f17433f9e4
7193,662,Herb Dean,323.0,2307.0,323.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,3,4:49,http://ufcstats.com/fight-details/a3d75cc363a6544b
7192,662,Greg Kleynjans,2390.0,1865.0,1865.0,3,F,Featherweight,M,KO/TKO,"to    
      Arm Injury",2,3:19,http://ufcstats.com/fight-details/09a7f0979a58e6ea
7191,662,Jim Perdios,1573.0,1896.0,1573.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0aae15358d8606b9
7190,662,Marc Goddard,2650.0,1132.0,2650.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/bfff5a3777841344
7189,662,Herb Dean,3227.0,1127.0,1127.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/56809feb4fe7ea61
7188,662,Greg Kleynjans,42.0,1672.0,1672.0,3,F,Featherweight,M,Submission,Rear Naked Choke,1,0:59,http://ufcstats.com/fight-details/5d481ff494bf40da
7187,662,Jim Perdios,2319.0,3353.0,2319.0,3,F,Welterweight,M,Submission,Rear Naked Choke,1,4:49,http://ufcstats.com/fight-details/65c89e0c92e51bb8
7186,661,Marc Goddard,2881.0,567.0,2881.0,5,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,2,3:44,http://ufcstats.com/fight-details/ea006bae605e2a6b
7185,661,Rich Mitchell,2983.0,1523.0,2983.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/4eaf54ad3c82b6fa
7184,661,Lukasz Bosacki,899.0,1643.0,899.0,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,2,4:44,http://ufcstats.com/fight-details/dfa8fd0b82b37fa1
7183,661,Marc Goddard,1417.0,2691.0,1417.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,1,3:46,http://ufcstats.com/fight-details/5098d052525da54f
7182,661,Loic Pora,2794.0,2849.0,2794.0,3,F,Featherweight,M,KO/TKO,Kick to Body At Distance,3,2:20,http://ufcstats.com/fight-details/1c29c53ff032c5c1
7181,661,Rich Mitchell,3488.0,25.0,3488.0,3,F,Featherweight,M,KO/TKO,Kicks to Body At Distance,1,3:51,http://ufcstats.com/fight-details/0d41a3fa5efef91b
7180,661,Lukasz Bosacki,2115.0,1971.0,2115.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1b9a127f9dadaad9
7179,661,Loic Pora,1986.0,1764.0,1986.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1be27d95bba03f17
7178,661,Lukasz Bosacki,3395.0,3114.0,3395.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e3a5a7ede88a2555
7177,661,Loic Pora,3837.0,987.0,3837.0,3,F,Bantamweight,M,Submission,Arm Triangle From Side Control,1,4:15,http://ufcstats.com/fight-details/ac73c6888ee9322c
7176,661,Rich Mitchell,3035.0,3505.0,3505.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/2a48d0a98c21e736
7175,660,,2532.0,2309.0,2532.0,5,F,Featherweight,M,KO/TKO,Punch to Head At Distance,3,0:23,http://ufcstats.com/fight-details/96704d7ba3a452d9
7174,660,Mark Craig,632.0,579.0,632.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/c53b0f678fe2f16a
7173,660,Marc Goddard,3477.0,3591.0,3477.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/dd617f6ab4916ec4
7172,660,Kevin Sataki,1528.0,2868.0,1528.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/de89bea7b0dcd2d3
7171,660,Thomas Fan,3755.0,827.0,3755.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5531317352862978
7170,660,Marc Goddard,470.0,1179.0,470.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:24,http://ufcstats.com/fight-details/f7bc845ce74f5fe7
7169,660,Mark Craig,3390.0,3639.0,3390.0,3,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,1,3:01,http://ufcstats.com/fight-details/bfc9989751bd0d04
7168,660,Kevin Sataki,2265.0,3941.0,3941.0,3,F,Bantamweight,M,KO/TKO,Punches to Head At Distance,1,4:16,http://ufcstats.com/fight-details/48231fbd1af53674
7167,660,Thomas Fan,1463.0,1403.0,1403.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,4:16,http://ufcstats.com/fight-details/293c5f4c9aca5c54
7166,660,Marc Goddard,607.0,3820.0,607.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/da6b863cf684e0ae
7165,660,Mark Craig,2811.0,2212.0,2811.0,3,F,Welterweight,M,KO/TKO,Punch to Body At Distance,1,3:49,http://ufcstats.com/fight-details/977250a28d3b8a3f
7164,660,Kevin Sataki,2028.0,4049.0,4049.0,3,F,Women's Flyweight,F,KO/TKO,Elbows to Head From Back Control,2,4:49,http://ufcstats.com/fight-details/23865dfc8361ac62
7163,660,Thomas Fan,3471.0,3072.0,3471.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b65b37c0e00074d9
7162,659,Marc Goddard,541.0,1426.0,1426.0,5,T,Bantamweight,M,KO/TKO,Punches to Head On Ground,2,0:51,http://ufcstats.com/fight-details/ee796ecb4ee8680b
7161,659,Kevin MacDonald,16.0,2057.0,16.0,5,T,Women's Strawweight,F,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/845e38dfbfea6e53
7160,659,Keith Peterson,1915.0,2865.0,2865.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/78d2c01dc963f204
7159,659,Bryan Miner,3756.0,3829.0,3829.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/fd4d30036a3f3efb
7158,659,Herb Dean,263.0,1571.0,263.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/621e6f0929a3dbfc
7157,659,Keith Peterson,164.0,438.0,438.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1a95cc401f68f4c8
7156,659,Bryan Miner,988.0,392.0,988.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Mount,1,1:43,http://ufcstats.com/fight-details/f995ed679ef8bdf4
7155,659,John English,2526.0,2487.0,2526.0,3,F,Lightweight,M,Submission,Triangle Choke From Bottom Guard,2,2:39,http://ufcstats.com/fight-details/62d53ad8f8769666
7154,659,Marc Goddard,2273.0,2840.0,2273.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e9754f597ec50f6f
7153,659,Herb Dean,1230.0,1741.0,1230.0,3,F,Middleweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/9f7c28381b6913c8
7152,659,Kevin MacDonald,2068.0,681.0,681.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/8c7b5b21b3532027
7151,659,John English,678.0,1596.0,678.0,3,F,Women's Flyweight,F,Submission,Guillotine Choke From Bottom Guard,1,4:59,http://ufcstats.com/fight-details/f329bd89e375d6df
7150,658,Mark Smith,1953.0,3185.0,1953.0,5,F,Welterweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/e346f2b7af63e804
7149,658,Jason Herzog,484.0,3280.0,484.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1b1fd32485861655
7148,658,Herb Dean,935.0,3293.0,935.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:40,http://ufcstats.com/fight-details/c57a4810c932b296
7147,658,Chris Tognoni,252.0,1958.0,1958.0,3,F,Women's Strawweight,F,Submission,Arm Triangle From Side Control,2,3:42,http://ufcstats.com/fight-details/c2f730cb33df5221
7146,658,Herb Dean,3198.0,1507.0,3198.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/560a971c6ab8b854
7145,658,Mark Smith,2929.0,1207.0,2929.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/9a9479663bedf8b4
7144,658,Jason Herzog,3598.0,1772.0,1772.0,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,2:19,http://ufcstats.com/fight-details/2c160a1d1fdbf0b0
7143,658,Chris Tognoni,1760.0,3684.0,1760.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,1:25,http://ufcstats.com/fight-details/9576d9cba5cf5c4e
7142,658,Jason Herzog,1850.0,3151.0,3151.0,3,F,Featherweight,M,KO/TKO,Elbows to Head From Mount,1,4:48,http://ufcstats.com/fight-details/9479ba3cdcb1e513
7141,658,Herb Dean,1322.0,3634.0,3634.0,3,F,Heavyweight,M,Submission,Kimura From Side Control,1,4:11,http://ufcstats.com/fight-details/d5929b7fbc801ce4
7140,658,Chris Tognoni,3988.0,915.0,3988.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,3,3:41,http://ufcstats.com/fight-details/ca2aa660bea0cb60
7139,658,Mark Smith,3756.0,2355.0,3756.0,3,F,Bantamweight,M,Submission,Twister From Back Control,1,3:47,http://ufcstats.com/fight-details/91a5480f48bfaa71
7138,658,Jason Herzog,1687.0,822.0,822.0,3,F,Women's Flyweight,F,KO/TKO,Punches to Head At Distance,1,3:41,http://ufcstats.com/fight-details/e3573545220ca4ea
7137,657,Jason Herzog,857.0,2961.0,857.0,5,F,Catch Weight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/554163b1c8c05522
7136,657,Kevin MacDonald,3976.0,505.0,505.0,3,F,Women's Strawweight,F,Submission,Guillotine Choke After Drop to Guard,2,1:31,http://ufcstats.com/fight-details/ec2358459ffbe7de
7135,657,Gary Copeland,2413.0,1432.0,2413.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:22,http://ufcstats.com/fight-details/2c54be25b09fce50
7134,657,Jimmy Neely,1983.0,346.0,1983.0,3,F,Featherweight,M,Submission,Triangle Armbar From Bottom Guard,1,1:38,http://ufcstats.com/fight-details/79bfba62da6242a6
7133,657,Justin Brown,3716.0,3569.0,3716.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/2c0496a5f39ab8a4
7132,657,Jason Herzog,3884.0,2205.0,2205.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/531ce3d8011fa1f6
7131,657,Kevin MacDonald,1213.0,3862.0,1213.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e5cb9dfc1189d77d
7130,657,Jason Herzog,161.0,2632.0,2632.0,3,F,Welterweight,M,Submission,Anaconda Choke On Ground,3,1:50,http://ufcstats.com/fight-details/bda7992779a005fa
7129,657,Kevin MacDonald,1139.0,2420.0,1139.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1b0d5e65fdfc62cf
7128,657,Jimmy Neely,3140.0,2680.0,3140.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/38901948cff43ff9
7127,657,Justin Brown,98.0,3597.0,98.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/436a1ce6b0c6b4bb
7126,657,Gary Copeland,1372.0,4024.0,4024.0,3,F,Flyweight,M,Submission,Rear Naked Choke,2,3:11,http://ufcstats.com/fight-details/6b5c225814a924ed
7125,656,Herb Dean,1189.0,2902.0,2902.0,5,F,Lightweight,M,KO/TKO,Kick to Head At Distance,2,1:00,http://ufcstats.com/fight-details/c27e33ee8ef53866
7124,656,Marc Goddard,3762.0,1256.0,1256.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/800a35b3a7e52308
7123,656,Dan Miragliotta,2034.0,971.0,2034.0,3,F,Heavyweight,M,KO/TKO,Punches to Head On Ground,1,0:33,http://ufcstats.com/fight-details/eff6ec2b2f1fb27b
7122,656,Dan Miragliotta,3017.0,2728.0,2728.0,3,F,Lightweight,M,Submission,Arm Triangle From Half Guard,3,4:54,http://ufcstats.com/fight-details/f1eca70738ca073e
7121,656,Marc Goddard,3478.0,2534.0,2534.0,3,F,Welterweight,M,Submission,D'Arce Choke On Ground,1,2:39,http://ufcstats.com/fight-details/cbf1e76186a0c8b3
7120,656,Herb Dean,3729.0,2834.0,3729.0,3,F,Welterweight,M,Submission,Guillotine Choke After Drop to Guard,1,1:13,http://ufcstats.com/fight-details/4327fe98e1b6f222
7119,656,Dave Seljestad,258.0,876.0,258.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e5ac7343b6d45188
7118,656,Marc Goddard,2181.0,1054.0,2181.0,3,F,Middleweight,M,KO/TKO,Kick to Head At Distance,2,0:33,http://ufcstats.com/fight-details/5116f9398bfca446
7117,656,Tyler Tomlinson,1810.0,2968.0,1810.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,2:37,http://ufcstats.com/fight-details/7a8f218c07347c88
7116,656,Tyler Tomlinson,760.0,1747.0,1747.0,3,F,Welterweight,M,KO/TKO,Spinning Back Elbow to Head At Distance,3,2:36,http://ufcstats.com/fight-details/3de326b65aa6245d
7115,656,Dave Seljestad,1804.0,3589.0,1804.0,3,F,Women's Flyweight,F,Submission,Armbar From Mount,3,2:11,http://ufcstats.com/fight-details/74fef059e229d217
7114,655,Marc Goddard,3918.0,330.0,3918.0,5,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:13,http://ufcstats.com/fight-details/90e46589a18064bc
7113,655,Jason Herzog,1790.0,529.0,529.0,3,F,Women's Flyweight,F,Submission,Armbar From Guard,1,1:55,http://ufcstats.com/fight-details/743a04674ab72ee0
7112,655,Marc Goddard,102.0,2991.0,102.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/9541cf21e031354c
7111,655,Daniel Movahedi,3362.0,1570.0,3362.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Mount,2,4:40,http://ufcstats.com/fight-details/8104fe27bdc46914
7110,655,Jason Herzog,2583.0,11.0,11.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/c4caa8a4f32a0eed
7109,655,Loic Pora,1552.0,3340.0,1552.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/3c4305abc2e302d0
7108,655,Marc Goddard,2737.0,1869.0,1869.0,3,F,Bantamweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/b4e2037f180c1e0e
7107,655,Jason Herzog,1004.0,1307.0,1307.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,2,4:57,http://ufcstats.com/fight-details/d54ebd2a3435a357
7106,655,Daniel Movahedi,3229.0,4005.0,4005.0,3,F,Lightweight,M,Submission,D'Arce Choke From Side Control,2,4:26,http://ufcstats.com/fight-details/319b96f615a0a154
7105,655,Loic Pora,1311.0,1191.0,1311.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/89b96bc5f3e824c5
7104,655,Marc Goddard,1564.0,3865.0,1564.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/8b341eb556c97c23
7103,655,Jason Herzog,246.0,2237.0,246.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/a0bc695b35f155f1
7102,655,Loic Pora,3147.0,3927.0,3147.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/a8a4c9f98ff73839
7101,655,Daniel Movahedi,3870.0,3688.0,3688.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/c81d1facf185467d
7100,655,Marc Goddard,2992.0,3861.0,2992.0,3,F,Flyweight,M,Submission,Arm Triangle From Mount,1,3:26,http://ufcstats.com/fight-details/d918da575ee1bc35
7099,654,Keith Peterson,2529.0,3629.0,3629.0,5,F,Women's Bantamweight,F,Submission,Guillotine Choke In Clinch,2,0:38,http://ufcstats.com/fight-details/73370221b3fa3676
7098,654,Mark Smith,3250.0,2677.0,3250.0,3,F,Welterweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/3352c65f3f6d9b2a
7097,654,Chris Tognoni,3898.0,1171.0,1171.0,3,F,Lightweight,M,KO/TKO,Punches to Head From Guard,1,4:05,http://ufcstats.com/fight-details/b52dccbe69864d2a
7096,654,Mark Smith,3142.0,1319.0,1319.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,4:45,http://ufcstats.com/fight-details/6adfe44b110c1510
7095,654,Jacob Montalvo,3148.0,3492.0,3148.0,3,F,Women's Featherweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/81b7a6aa147bd912
7094,654,Keith Peterson,904.0,1760.0,904.0,3,F,Lightweight,M,Submission,Rear Naked Choke,2,1:07,http://ufcstats.com/fight-details/e4620f3fa451a3a4
7093,654,Jacob Montalvo,1950.0,3886.0,3886.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/8362b372adb2f302
7092,654,Chris Tognoni,3158.0,1438.0,3158.0,3,F,Women's Strawweight,F,KO/TKO,"to   On Ground
      Injury",1,0:34,http://ufcstats.com/fight-details/eb30c9c975e15436
7091,654,Keith Peterson,2007.0,3378.0,3378.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b4cc389bb4af3707
7090,654,Mark Smith,3107.0,305.0,3107.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/3624f4ae9c1d703e
7089,654,Keith Peterson,1524.0,1892.0,1892.0,3,F,Flyweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/dae80502466c8726
7088,654,Jacob Montalvo,1568.0,3260.0,1568.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/57785c9be5b4526d
7087,654,Chris Tognoni,3049.0,1245.0,1245.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/cae7de0873e03947
7086,653,Herb Dean,227.0,983.0,227.0,5,T,Featherweight,M,KO/TKO,Punches to Head On Ground,3,4:19,http://ufcstats.com/fight-details/4b12a4b48755cd6b
7085,653,Jason Herzog,1603.0,1329.0,1329.0,5,T,Flyweight,M,Decision,Split,5,5:00,http://ufcstats.com/fight-details/0f24f3bc1b39ea45
7084,653,Marc Goddard,144.0,3163.0,3163.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,2,2:23,http://ufcstats.com/fight-details/4ec5d9bd1442e6c1
7083,653,Mark Smith,332.0,2512.0,2512.0,3,F,Lightweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/b6ea8880cc7af439
7082,653,Chris Tognoni,1480.0,101.0,1480.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,1,0:38,http://ufcstats.com/fight-details/1ffe6e8df6dbefd2
7081,653,Marc Goddard,2097.0,1161.0,2097.0,3,F,Welterweight,M,KO/TKO,Punches to Head In Clinch,1,0:38,http://ufcstats.com/fight-details/20d8f6b4b7c8bae7
7080,653,Herb Dean,467.0,3496.0,467.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/d3a9aceeb7e23580
7079,653,Jason Herzog,2398.0,2806.0,2806.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head On Ground,1,0:20,http://ufcstats.com/fight-details/ef270d8cf29d071b
7078,653,Mark Smith,3347.0,1721.0,1721.0,3,F,Light Heavyweight,M,Submission,Guillotine Choke In Clinch,2,1:55,http://ufcstats.com/fight-details/6ef12db5b099ec81
7077,653,Marc Goddard,1231.0,1173.0,1231.0,3,F,Light Heavyweight,M,Submission,Arm Triangle From Half Guard,3,3:42,http://ufcstats.com/fight-details/69f67a4a690eb15d
7076,653,Mark Smith,909.0,1660.0,909.0,3,F,Bantamweight,M,KO/TKO,Punches to Head From Bottom Mount,1,3:10,http://ufcstats.com/fight-details/dbf8a4b0870a47d1
7075,653,Jason Herzog,940.0,4080.0,4080.0,3,F,Flyweight,M,KO/TKO,Punch to Head At Distance,1,0:17,http://ufcstats.com/fight-details/420f7e6530dbc727
7074,653,Chris Tognoni,2211.0,1052.0,1052.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5b71958ee063a6e8
7073,652,Mark Smith,512.0,1910.0,512.0,5,F,Middleweight,M,KO/TKO,Punches to Head On Ground,2,4:20,http://ufcstats.com/fight-details/f557405652165aa3
7072,652,Herb Dean,2434.0,3279.0,3279.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/4dc5a41f357a7d85
7071,652,Kerry Hatley,2721.0,1611.0,1611.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0548a24a9bf8d7a0
7070,652,Chris Tognoni,2004.0,2859.0,2004.0,3,F,Women's Flyweight,F,Decision,Split,3,5:00,http://ufcstats.com/fight-details/ea29714dcfb07ce2
7069,652,Herb Dean,3728.0,899.0,899.0,3,F,Lightweight,M,Submission,Rear Naked Choke,1,4:48,http://ufcstats.com/fight-details/cd137988da724076
7068,652,Mark Smith,3005.0,912.0,912.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,1:17,http://ufcstats.com/fight-details/288f7fb936c1523c
7067,652,Herb Dean,2070.0,3034.0,3034.0,3,F,Welterweight,M,Submission,Guillotine Choke On Ground,1,0:55,http://ufcstats.com/fight-details/962e74250884e4c1
7066,652,Chris Tognoni,3671.0,117.0,3671.0,3,F,Featherweight,M,KO/TKO,Punches to Head On Ground,1,2:54,http://ufcstats.com/fight-details/f5a6acc99bc5c634
7065,652,Kerry Hatley,828.0,948.0,948.0,3,F,Women's Featherweight,F,Decision,Split,3,5:00,http://ufcstats.com/fight-details/fe370c518cf7873e
7064,652,Chris Tognoni,2145.0,3682.0,3682.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,3,3:17,http://ufcstats.com/fight-details/454265014520a3f8
7063,652,Mark Smith,1228.0,3538.0,3538.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/dffc65202afb881d
7062,652,Kerry Hatley,962.0,2431.0,962.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/bd2e14ee959f9b77
7061,651,Marc Goddard,3087.0,380.0,380.0,5,F,Featherweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/c3ef3cb03edde8bb
7060,651,Keith Peterson,1057.0,3866.0,3866.0,3,F,Women's Flyweight,F,KO/TKO,Elbows to Head From Half Guard,2,3:42,http://ufcstats.com/fight-details/07cb64236ae7aaea
