fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
4067,Javi,Alanis,,167.64,135.0,,,,0,4,0,,http://ufcstats.com/fighter-details/2144954270be834d
4066,Alatengheili,,The Mongolian Knight,165.1,135.0,167.64,Orthodox,1991-12-14,16,8,2,,http://ufcstats.com/fighter-details/1897b7b913736a7c
4065,Amir,Albazi,The Prince,165.1,125.0,172.72,Orthodox,1993-10-27,17,1,0,,http://ufcstats.com/fighter-details/6d35bf94f7d30241
4064,Brett,Albee,,,225.0,,,,3,2,0,,http://ufcstats.com/fighter-details/9b28292abe3166d5
4063,John,Albert,Prince,172.72,135.0,172.72,Orthodox,1986-10-13,6,5,0,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
4062,Junior,Albini,Baby,190.5,264.0,187.96,Orthodox,1991-03-15,14,6,0,,http://ufcstats.com/fighter-details/c482c8605455a213
4061,Wes,Albritton,,177.8,188.0,,Orthodox,,0,1,0,,http://ufcstats.com/fighter-details/184b955181bdef52
4060,Aleksandra,Albu,Stitch,157.48000000000002,115.0,160.02,Orthodox,1990-07-14,3,2,0,,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
4059,Israel,Albuquerque,,,185.0,,Orthodox,,0,3,0,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
4058,Juan,Alcain,,,,,,,1,2,0,,http://ufcstats.com/fighter-details/39f62b833e4cf126
4057,Iuri,Alcantara,Marajo,175.26,135.0,180.34,Southpaw,1980-08-04,35,10,0,1.0,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
4056,Ildemar,Alcantara,Marajo,187.96,185.0,198.12,Orthodox,1982-11-18,21,11,0,,http://ufcstats.com/fighter-details/7c6e87729e824ef4
4055,Alfonso,Alcarez,,160.02,145.0,,,1970-06-10,1,3,1,,http://ufcstats.com/fighter-details/1e38bba6738b7b10
4054,Gilbert,Aldana,El Peligro,185.42,250.0,,Orthodox,1977-08-25,6,2,0,,http://ufcstats.com/fighter-details/d26934530dc5b248
4053,Irene,Aldana,,175.26,135.0,172.72,Orthodox,1988-03-26,14,7,0,,http://ufcstats.com/fighter-details/578ef12674df1e6a
4052,Hector,Aldana,,180.34,170.0,182.88,Orthodox,1988-08-17,4,3,0,,http://ufcstats.com/fighter-details/c487223b0289bda9
4051,Jose,Alday,Pochito,170.18,135.0,172.72,Orthodox,1991-09-14,14,6,1,,http://ufcstats.com/fighter-details/7460ddef986d3144
4050,Jose,Aldo,,170.18,135.0,177.8,Orthodox,1986-09-09,31,8,0,,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
4049,JJ,Aldrich,,165.1,125.0,170.18,Southpaw,1992-09-29,12,6,0,,http://ufcstats.com/fighter-details/6fd953151d981979
4048,Irina,Alekseeva,Russian Ronda,172.72,135.0,170.18,Orthodox,1990-06-27,5,1,0,,http://ufcstats.com/fighter-details/103e2e33a60683e1
4047,Talita,Alencar,,154.94,115.0,147.32,Orthodox,1990-10-17,4,0,1,,http://ufcstats.com/fighter-details/d35298b6df168456
4046,Jim,Alers,The Beast,175.26,145.0,180.34,Orthodox,1986-10-14,13,3,0,1.0,http://ufcstats.com/fighter-details/fe5a9547479396ab
4045,John,Alessio,The Natural,177.8,155.0,182.88,Orthodox,1979-07-05,35,17,0,2.0,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
4044,Houston,Alexander,The Assassin,182.88,205.0,182.88,Orthodox,1972-03-22,17,15,1,2.0,http://ufcstats.com/fighter-details/0541480fbf719d86
4043,Kenneth,Alexander,The Machine,175.26,155.0,,Orthodox,1977-09-25,7,6,0,1.0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
4042,Lucas,Alexander,The Lion,180.34,145.0,185.42,Orthodox,1995-07-28,8,3,0,,http://ufcstats.com/fighter-details/11583163f45c7b31
4041,Marcio,Alexandre Junior,Lyoto,182.88,185.0,190.5,Southpaw,1989-05-05,17,4,0,,http://ufcstats.com/fighter-details/d53482bef23235ba
4040,Olaf,Alfonso,,187.96,170.0,,Orthodox,1974-08-06,8,12,0,,http://ufcstats.com/fighter-details/b757c73f443d4fca
4039,Pablo,Alfonso,The Hurricane,172.72,145.0,,,1983-05-09,9,7,0,,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
4038,Levi,Alford,,,,,,,1,7,0,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
4037,Bill,Algeo,Senor Perfecto,182.88,145.0,185.42,Switch,1989-06-09,17,7,0,,http://ufcstats.com/fighter-details/9abc648e76c4493a
4036,Royce,Alger,,177.8,199.0,,Orthodox,,3,2,0,,http://ufcstats.com/fighter-details/669a3cb6e394f515
4035,Amir,Aliakbari,,190.5,250.0,,,1984-06-10,10,1,0,,http://ufcstats.com/fighter-details/e17770faae3ca54c
4034,Sultan,Aliev,,180.34,170.0,187.96,Orthodox,1984-09-17,15,3,0,,http://ufcstats.com/fighter-details/e70de1859b7ee78e
4033,Nurullo,Aliev,Tajik Eagle,177.8,155.0,182.88,Orthodox,2000-12-08,9,0,0,,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
4032,Ikram,Aliskerov,,182.88,185.0,193.04,Southpaw,1992-12-07,14,1,0,,http://ufcstats.com/fighter-details/b07aed698fba8624
4031,Leon,Aliu,The Albanian Lion,182.88,185.0,187.96,Orthodox,1989-07-14,10,2,0,,http://ufcstats.com/fighter-details/6db394bf6c3b017c
4030,John,Allan,,185.42,205.0,190.5,Orthodox,1993-02-22,13,7,0,1.0,http://ufcstats.com/fighter-details/6ebe96a116e79e52
4029,George,Allen,,187.96,205.0,,Open Stance,1967-01-13,13,19,2,,http://ufcstats.com/fighter-details/1e13936d708bcff7
4028,Arnold,Allen,Almighty,172.72,145.0,177.8,Southpaw,1994-01-22,19,2,0,,http://ufcstats.com/fighter-details/040a74bb0a465c54
4027,Brendan,Allen,All In,187.96,185.0,190.5,Orthodox,1995-12-28,22,5,0,,http://ufcstats.com/fighter-details/2f181c0467965b98
4026,Daniel,Allen,,182.88,155.0,190.5,Southpaw,1992-08-10,5,0,0,,http://ufcstats.com/fighter-details/adf9a901308fb8e3
4025,Ben,Alloway,Blanco,180.34,170.0,193.04,Orthodox,1981-02-19,18,8,0,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
4024,Assu,Almabayev,Zulfikar,162.56,125.0,165.1,Orthodox,1994-01-25,18,2,0,,http://ufcstats.com/fighter-details/8d3273573b85be09
4023,Ricardo,Almeida,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,http://ufcstats.com/fighter-details/91186547a7f3f758
4022,Magno,Almeida,,182.88,155.0,,,1985-06-06,10,3,0,1.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
4021,Thomas,Almeida,Thominhas,170.18,145.0,177.8,Southpaw,1991-07-31,22,5,0,,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
4020,Ericka,Almeida,,167.64,115.0,,Orthodox,1989-03-05,7,3,0,,http://ufcstats.com/fighter-details/67a992d4cff22466
4019,Estefani,Almeida,,162.56,125.0,,Orthodox,1988-10-17,7,3,0,,http://ufcstats.com/fighter-details/f16ddfa31236efed
4018,Jailton,Almeida,Malhadinho,190.5,205.0,200.66,Orthodox,1991-06-26,19,2,0,,http://ufcstats.com/fighter-details/41e83a89929d1327
4017,Lucas,Almeida,,180.34,145.0,180.34,Orthodox,1991-01-31,14,2,0,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
4016,Cesar,Almeida,Cesinha,185.42,185.0,187.96,Orthodox,1988-03-23,4,0,0,,http://ufcstats.com/fighter-details/64d47ef881a437a4
4015,Mauricio,Alonso,,187.96,170.0,,,1980-02-27,13,7,0,1.0,http://ufcstats.com/fighter-details/c6bf75775b278ed8
4014,Sarah,Alpar,Too Sweet,162.56,135.0,160.02,Southpaw,1991-06-01,9,6,0,,http://ufcstats.com/fighter-details/49b130de1da2e1bf
4013,Ali,AlQaisi,The Royal Fighter,167.64,135.0,172.72,Orthodox,1990-09-23,8,5,0,,http://ufcstats.com/fighter-details/e87a13e02c01331d
4012,Rico,Altamirano,,177.8,170.0,,,,4,3,0,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
4011,Victor,Altamirano,El Magnifico,172.72,125.0,177.8,Switch,1991-01-23,12,3,0,,http://ufcstats.com/fighter-details/dc7927cd622676a7
4010,Mike,Altman,,177.8,185.0,,Orthodox,,1,4,0,,http://ufcstats.com/fighter-details/c11036da9162cb5f
4009,Patricia,Alujas,The Angel,162.56,115.0,162.56,Orthodox,1996-05-08,9,3,0,,http://ufcstats.com/fighter-details/430c533614d45813
4008,Sean,Alvarez,,182.88,235.0,,Orthodox,1971-07-14,4,3,0,,http://ufcstats.com/fighter-details/e741536153227386
4007,Eddie,Alvarez,,175.26,155.0,175.26,Orthodox,1984-01-11,29,6,0,1.0,http://ufcstats.com/fighter-details/33a331684283900f
4006,Jaime,Alvarez,,172.72,125.0,175.26,Orthodox,1988-03-08,6,1,0,,http://ufcstats.com/fighter-details/4438482bd1d5a029
4005,Joel,Alvarez,El Fenomeno,190.5,155.0,195.58,Orthodox,1993-03-02,20,3,0,,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
4004,Thiago,Alves,Pitbull,175.26,170.0,177.8,Orthodox,1983-10-03,23,15,0,,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
4003,Anthony,Alves,,,,,,,1,4,0,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
4002,Amilcar,Alves,,182.88,170.0,,Southpaw,1988-08-08,15,12,0,,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
4001,Warlley,Alves,,180.34,170.0,182.88,Orthodox,1991-01-04,15,6,0,,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
4000,Rafael,Alves,The Turn,172.72,155.0,172.72,Orthodox,1990-11-14,20,12,0,,http://ufcstats.com/fighter-details/029afd138865d20a
3999,Sam,Alvey,Smile'N,187.96,185.0,190.5,Southpaw,1986-05-06,33,18,1,1.0,http://ufcstats.com/fighter-details/d156513a19acf856
3998,Andre,Amado,Dida,182.88,154.0,,Orthodox,,6,4,1,,http://ufcstats.com/fighter-details/20821819c401ced8
3997,Adlan,Amagov,Borz,187.96,170.0,193.04,Orthodox,1986-10-30,14,2,1,,http://ufcstats.com/fighter-details/1e327b281ef6a745
3996,Maiara,Amanajas dos Santos,,165.1,115.0,,Southpaw,1987-07-11,7,3,0,,http://ufcstats.com/fighter-details/247fbbfafea60bb1
3995,Rayanne,Amanda,,157.48000000000002,115.0,157.48,Orthodox,1995-06-08,11,6,0,,http://ufcstats.com/fighter-details/02bb48869eb7ac8f
3994,Chris,Amarante,,,185.0,,,,2,0,0,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
3993,Jimmy,Ambriz,The Titan,187.96,315.0,,Southpaw,1970-01-26,17,21,1,,http://ufcstats.com/fighter-details/c912f676692c353a
3992,JJ,Ambrose,,177.8,170.0,,Orthodox,,28,7,0,2.0,http://ufcstats.com/fighter-details/d562b12b8fe88336
3991,Alen,Amedovski,,177.8,185.0,187.96,Orthodox,1988-04-06,8,4,0,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
3990,Hyder,Amil,The Hurricane,175.26,145.0,177.8,Switch,1990-05-28,8,0,0,,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
3989,Makwan,Amirkhani,Mr. Finland,177.8,145.0,182.88,Southpaw,1988-11-08,17,9,0,,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
3988,Jaqueline,Amorim,,160.02,115.0,172.72,Orthodox,1995-06-24,7,1,0,,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
3987,Bertrand,Amoussou,,172.72,190.0,,Orthodox,,1,1,0,,http://ufcstats.com/fighter-details/53adf5b845d91e4a
3986,Karl,Amoussou,The Psycho,180.34,185.0,,Orthodox,1985-11-21,27,7,2,,http://ufcstats.com/fighter-details/23a8c33869bf5392
3985,Eryk,Anders,Ya Boi,185.42,185.0,190.5,Southpaw,1987-04-21,15,8,0,1.0,http://ufcstats.com/fighter-details/cad24459b28592ca
3984,Matt,Andersen,,187.96,230.0,,Southpaw,1971-05-29,14,8,1,,http://ufcstats.com/fighter-details/8738eacd62e82a32
3983,Andy,Anderson,The Hammer,167.64,240.0,,,1974-07-16,0,1,0,,http://ufcstats.com/fighter-details/9199e0735b83dd32
3982,Lowell,Anderson,,167.64,160.0,,Orthodox,,0,1,0,,http://ufcstats.com/fighter-details/1ffc38f67785797b
3981,Corey,Anderson,Overtime,190.5,205.0,200.66,Orthodox,1989-09-22,14,5,0,,http://ufcstats.com/fighter-details/5e4eec08896c9423
3980,Derek,Anderson,Barbaric,182.88,155.0,,,1990-02-02,14,3,0,1.0,http://ufcstats.com/fighter-details/19ba965651486013
3979,Megan,Anderson,,182.88,145.0,182.88,Orthodox,1990-02-11,11,5,0,,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
3978,Tatsuya,Ando,,,135.0,,,1990-04-26,13,3,1,,http://ufcstats.com/fighter-details/17615148dd4be6f6
3977,Alex,Andrade,El Toro,180.34,200.0,,Orthodox,1974-05-14,10,5,0,,http://ufcstats.com/fighter-details/1562b12763cc8d67
3976,Jessica,Andrade,Bate Estaca,154.94,115.0,157.48,Orthodox,1991-09-25,24,12,0,,http://ufcstats.com/fighter-details/6a1901c62ab3870f
3975,Viscardi,Andrade,,180.34,170.0,190.5,Orthodox,1984-03-08,19,6,0,,http://ufcstats.com/fighter-details/d221ee27afc7a60e
3974,Jermaine,Andre,,170.18,200.0,,Orthodox,,14,4,0,,http://ufcstats.com/fighter-details/9bad58fa651d6196
3973,Juan,Andres Luna,,170.18,125.0,182.88,Orthodox,1995-08-20,12,1,0,,http://ufcstats.com/fighter-details/1fd9f744105024a8
3972,Fellipe,Andrew,,,,,,1994-10-24,0,0,0,,http://ufcstats.com/fighter-details/7977fb0fd9c5955d
3971,Dylan,Andrews,The Villain,185.42,185.0,187.96,Switch,1979-11-15,18,7,0,1.0,http://ufcstats.com/fighter-details/00debc804e2b1cd4
3970,Reese,Andy,Riptide,182.88,205.0,,Orthodox,1973-03-31,7,3,0,,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
3969,Angga,,The Hitman,170.18,145.0,172.72,Orthodox,1989-01-13,13,3,0,,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
3968,Julius,Anglickas,,190.5,205.0,,Orthodox,1991-07-23,5,1,0,,http://ufcstats.com/fighter-details/e20ad078a7d63361
3967,Collin,Anglin,,175.26,145.0,180.34,Orthodox,1993-02-20,8,3,0,,http://ufcstats.com/fighter-details/047a91d3d9c79b05
3966,Chad,Anheliger,The Monster,167.64,135.0,162.56,Orthodox,1986-12-01,12,6,0,,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
3965,Yoji,Anjo,Mr. 200%,180.34,205.0,,Orthodox,1967-03-28,0,5,1,,http://ufcstats.com/fighter-details/e06fd1260ac865a7
3964,Magomed,Ankalaev,,190.5,205.0,190.5,Orthodox,1992-06-02,18,1,1,,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
3963,Gadzhimurad,Antigulov,,180.34,205.0,177.8,Orthodox,1987-02-09,20,8,0,,http://ufcstats.com/fighter-details/af997f7611673880
3962,Adam,Antolin,Captain Chaos,165.1,125.0,160.02,Orthodox,1982-02-28,12,3,0,,http://ufcstats.com/fighter-details/25b31165758402dd
3961,Angelo,Antonio,,,205.0,,Orthodox,,1,4,0,,http://ufcstats.com/fighter-details/dbd198f780286aca
3960,Azunna,Anyanwu,Zulu,185.42,251.0,,Orthodox,1981-08-05,14,5,0,,http://ufcstats.com/fighter-details/78d48d3874dacafd
3959,Shinsho,Anzai,Animal,170.18,170.0,177.8,Orthodox,1985-12-01,10,3,0,,http://ufcstats.com/fighter-details/4665f9f909cd7214
3958,Shinya,Aoki,Tobikan Judan,180.34,154.0,,Southpaw,1983-05-09,39,7,0,1.0,http://ufcstats.com/fighter-details/79ded75550efc139
3957,Aoriqileng,,The Mongolian Murderer,170.18,135.0,175.26,Orthodox,1993-06-25,24,10,0,,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
3956,Josh,Appelt,,177.8,255.0,,Southpaw,1983-06-19,15,7,0,,http://ufcstats.com/fighter-details/0c1a04afca64e38f
3955,Erik,Apple,,182.88,170.0,,Orthodox,1977-08-26,10,3,0,,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
3954,Kenji,Arai,,177.8,145.0,,Southpaw,1979-10-05,15,15,5,,http://ufcstats.com/fighter-details/269d103c96a4c3a5
3953,Romie,Aram,,177.8,170.0,,Orthodox,1977-12-02,7,1,0,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
3952,Felipe,Arantes,Sertanejo,172.72,135.0,185.42,Orthodox,1988-02-09,18,10,1,2.0,http://ufcstats.com/fighter-details/71002dbc1743b9a7
3951,Igor,Araujo,,185.42,170.0,195.58,Orthodox,1980-12-06,25,9,0,1.0,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
3950,Viviane,Araujo,Vivi,162.56,125.0,172.72,Orthodox,1986-11-21,11,5,0,,http://ufcstats.com/fighter-details/36541f1e6c5d4955
3949,Julio,Arce,,170.18,135.0,177.8,Southpaw,1989-10-27,18,6,0,,http://ufcstats.com/fighter-details/1291edf2d566a71a
3948,Art,Arciniega,King Arthur,172.72,145.0,,,1981-10-15,15,7,0,,http://ufcstats.com/fighter-details/d25e39e74efb0a77
3947,Tristan,Arenal,,,155.0,,,,7,4,0,,http://ufcstats.com/fighter-details/9c9455912d917e4e
3946,Gabriel,Arges,,,170.0,,,1993-01-29,0,0,0,,http://ufcstats.com/fighter-details/db3c4a884d704efe
3945,Dan,Argueta,The Determined,170.18,135.0,172.72,Southpaw,1993-08-13,9,2,0,1.0,http://ufcstats.com/fighter-details/e4ba58725825412d
3944,Reza,Arianto,The Crazy Lion,,155.0,,,,5,0,0,,http://ufcstats.com/fighter-details/90063913321e7670
3943,Hashem,Arkhagha,,187.96,185.0,190.5,Orthodox,1989-09-11,6,1,0,,http://ufcstats.com/fighter-details/9a7ffa80766caa51
3942,Andrei,Arlovski,The Pitbull,190.5,240.0,195.58,Orthodox,1979-02-04,34,22,0,2.0,http://ufcstats.com/fighter-details/3738e68d2261e60f
3941,Garrett,Armfield,,167.64,135.0,177.8,Orthodox,1996-10-09,9,3,0,,http://ufcstats.com/fighter-details/1effd880e1f1bb30
3940,Joey,Armstrong,,,,,,,5,2,0,,http://ufcstats.com/fighter-details/30ad2050273d016a
3939,Austin,Arnett,,182.88,145.0,182.88,Orthodox,1991-10-22,16,6,0,,http://ufcstats.com/fighter-details/bf0e700106d00e55
3938,Ricardo,Arona,The Brazilian Tiger,180.34,205.0,,Orthodox,1978-07-17,14,5,0,,http://ufcstats.com/fighter-details/05fbfe628658c538
3937,Eli,Aronov,The Israeli Tank,177.8,185.0,182.88,Orthodox,1996-06-06,6,1,0,,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
3936,Chalid,Arrab,Die Faust,180.34,205.0,,Orthodox,1975-05-28,7,3,0,,http://ufcstats.com/fighter-details/770b9d4813c25902
3935,Akbarh,Arreola,El Caballero,177.8,155.0,180.34,Southpaw,1983-01-14,23,11,1,,http://ufcstats.com/fighter-details/c136b2a8852da5bd
3934,Matt,Arroyo,No Regard,177.8,170.0,182.88,Orthodox,1982-09-01,3,3,0,,http://ufcstats.com/fighter-details/de62052b2ede65ba
3933,Antonio,Arroyo,,190.5,185.0,185.42,Orthodox,1989-07-01,9,5,0,,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
3932,Gilles,Arsene,,175.26,190.0,,Southpaw,,1,1,0,,http://ufcstats.com/fighter-details/2dea80c069847321
3931,Veta,Arteaga,,170.18,125.0,,,,3,1,0,,http://ufcstats.com/fighter-details/91e3388e69060e69
3930,Cesar,Arzamendia,Goku,180.34,155.0,,Orthodox,1991-01-31,8,3,0,,http://ufcstats.com/fighter-details/49f78022126bf4a4
3929,Teddy,Ash,Bear,185.42,185.0,185.42,Switch,1989-12-27,14,5,0,,http://ufcstats.com/fighter-details/a373085066dbfb54
3928,Arman,Ashimov,Mustafa Ozturik,167.64,125.0,,,1992-01-14,11,3,1,,http://ufcstats.com/fighter-details/d26a0988c9dc9886
3927,Yanal,Ashmouz,Red Fox,175.26,155.0,172.72,Orthodox,1995-03-31,7,1,0,,http://ufcstats.com/fighter-details/c739c2995a275314
3926,Asjabharan,,,167.64,135.0,,,1992-07-31,7,6,0,,http://ufcstats.com/fighter-details/8be9deb7d6b36354
3925,Askar,Askar,AK-47,170.18,145.0,175.26,Orthodox,1994-08-19,11,1,0,,http://ufcstats.com/fighter-details/2abc414136504554
3924,Askar,Askarov,Bullet,167.64,125.0,170.18,Orthodox,1992-10-09,14,1,1,,http://ufcstats.com/fighter-details/b1d19449397541dc
3923,Cyril,Asker,Silverback,182.88,247.0,187.96,Orthodox,1985-12-24,9,4,0,,http://ufcstats.com/fighter-details/9be6020024133293
3922,Khusein,Askhabov,Nohcho,172.72,145.0,175.26,Orthodox,1995-02-13,23,1,0,,http://ufcstats.com/fighter-details/5c10da56d712ac9c
3921,Scott,Askham,,190.5,185.0,190.5,Southpaw,1988-05-20,14,4,0,,http://ufcstats.com/fighter-details/06827d70c53ff0d9
